instance,parameter,cut_count,known_puzzle,best_solution,lower bound,gap,runtime,node_count,remaining_nodes,status,cpu_type,time_limit,ram
22,2,5000,17,17.0,17.0,0.0,17165.094168,110284,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
23,2,500,17,17.0,17.0,0.0,138954.665042,4652768,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
23,2,1000,17,17.0,17.0,0.0,85168.654167,2198711,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
23,2,3000,17,17.0,17.0,0.0,122268.80328,1413553,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
23,2,5000,17,17.0,17.0,0.0,153769.446683,1102273,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
24,2,500,17,17.0,17.0,0.0,6515.528369,217128,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
24,2,1000,17,17.0,17.0,0.0,44863.341441,1507876,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
24,2,3000,17,17.0,17.0,0.0,97833.030364,1069214,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
24,2,5000,17,17.0,17.0,0.0,145872.09189,878399,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
30,2,500,22,19.0,16.625,12.5,345600.054787,10390376,4559085,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
30,2,1000,22,18.0,18.0,0.0,158291.985949,5635564,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
30,2,3000,22,19.0,16.552555,12.881291,345600.101211,3980756,2233573,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
30,2,5000,22,19.0,16.201642,14.728198,345600.046842,2234509,1408949,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
31,2,500,22,19.0,19.0,0.0,78103.04747,2222989,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
31,2,1000,22,19.0,19.0,0.0,58283.728454,1517086,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
31,2,3000,22,19.0,19.0,0.0,137571.342619,1321273,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
31,2,5000,22,19.0,19.0,0.0,195594.753639,1299242,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
